DeliveryID,OrderID,DeliveryDate,DeliveredQty,City,Status
DIS005000,OIND005000,2025-02-01,1,Chennai,Delivered
DIS005001,OIND005001,2025-02-02,3,Delhi,In Transit
DIS005002,OIND005002,2025-02-03,3,Pune,Delivered
DIS005003,OIND005003,2025-02-04,1,Bangalore,Delivered
DIS005004,OIND005004,2025-02-05,3,Bangalore,In Transit
DIS005005,OIND005005,2025-02-06,3,Bangalore,Shipped
DIS005006,OIND005006,2025-02-07,3,Bangalore,Delivered
DIS005007,OIND005007,2025-02-08,1,Mumbai,In Transit
DIS005008,OIND005008,2025-02-09,1,Delhi,In Transit
DIS005009,OIND005009,2025-02-10,2,Delhi,Delivered
DIS005010,OIND005010,2025-02-11,2,Mumbai,In Transit
DIS005011,OIND005011,2025-02-12,1,Pune,In Transit
DIS005012,OIND005012,2025-02-13,3,Pune,In Transit
DIS005013,OIND005013,2025-02-14,1,Pune,Delivered
DIS005014,OIND005014,2025-02-15,2,Pune,In Transit
DIS005015,OIND005015,2025-02-16,3,Delhi,Delivered
DIS005016,OIND005016,2025-02-17,1,Delhi,Shipped
DIS005017,OIND005017,2025-02-18,2,Chennai,Shipped
DIS005018,OIND005018,2025-02-19,1,Pune,Shipped
DIS005019,OIND005019,2025-02-20,1,Mumbai,In Transit
DIS005020,OIND005020,2025-02-21,1,Delhi,In Transit
DIS005021,OIND005021,2025-02-22,1,Pune,In Transit
DIS005022,OIND005022,2025-02-23,4,Hyderabad,Shipped
DIS005023,OIND005023,2025-02-24,4,Bangalore,Delivered
DIS005024,OIND005024,2025-02-25,2,Hyderabad,Shipped
DIS005025,OIND005025,2025-02-26,1,Delhi,Shipped
DIS005026,OIND005026,2025-02-27,3,Hyderabad,Shipped
DIS005027,OIND005027,2025-02-28,2,Mumbai,Delivered
DIS005028,OIND005028,2025-03-01,4,Bangalore,Delivered
DIS005029,OIND005029,2025-03-02,2,Delhi,In Transit
DIS005030,OIND005030,2025-03-03,2,Mumbai,Shipped
DIS005031,OIND005031,2025-03-04,4,Pune,Delivered
DIS005032,OIND005032,2025-03-05,3,Delhi,In Transit
DIS005033,OIND005033,2025-03-06,2,Hyderabad,Shipped
DIS005034,OIND005034,2025-03-07,3,Chennai,Shipped
DIS005035,OIND005035,2025-03-08,2,Bangalore,Delivered
DIS005036,OIND005036,2025-03-09,4,Hyderabad,In Transit
DIS005037,OIND005037,2025-03-10,1,Bangalore,Delivered
DIS005038,OIND005038,2025-03-11,2,Pune,In Transit
DIS005039,OIND005039,2025-03-12,4,Mumbai,Delivered
DIS005040,OIND005040,2025-03-13,1,Bangalore,Delivered
DIS005041,OIND005041,2025-03-14,1,Hyderabad,Shipped
DIS005042,OIND005042,2025-03-15,3,Pune,Delivered
DIS005043,OIND005043,2025-03-16,4,Mumbai,Shipped
DIS005044,OIND005044,2025-03-17,2,Hyderabad,Delivered
DIS005045,OIND005045,2025-03-18,1,Pune,Delivered
DIS005046,OIND005046,2025-03-19,3,Hyderabad,In Transit
DIS005047,OIND005047,2025-03-20,1,Pune,In Transit
DIS005048,OIND005048,2025-03-21,2,Mumbai,Delivered
DIS005049,OIND005049,2025-03-22,1,Chennai,Delivered
