OrderID,CustomerID,MaterialCode,OrderDate,City,Quantity,Status
OIND015000,2717,WPUR100,2025-01-01,Hyderabad,3,Open
OIND015001,3735,WPUR100,2025-01-02,Pune,3,Delivered
OIND015002,8910,WPUR200,2025-01-03,Chennai,1,In Process
OIND015003,3389,WPUR100,2025-01-04,Delhi,3,In Process
OIND015004,3447,WPUR300,2025-01-05,Pune,4,Delivered
OIND015005,5003,WPUR300,2025-01-06,Chennai,3,Open
OIND015006,5184,WPUR100,2025-01-07,Mumbai,3,Delivered
OIND015007,6948,WPUR300,2025-01-08,Mumbai,2,Open
OIND015008,5261,WPUR200,2025-01-09,Pune,4,Delivered
OIND015009,9015,WPUR200,2025-01-10,Mumbai,3,Open
OIND015010,6146,WPUR200,2025-01-11,Bangalore,2,In Process
OIND015011,3987,WPUR200,2025-01-12,Hyderabad,3,In Process
OIND015012,4530,WPUR200,2025-01-13,Bangalore,2,In Process
OIND015013,6507,WPUR200,2025-01-14,Mumbai,2,Open
OIND015014,5210,WPUR300,2025-01-15,Mumbai,1,Open
OIND015015,1797,WPUR100,2025-01-16,Mumbai,4,In Process
OIND015016,4376,WPUR300,2025-01-17,Delhi,1,Open
OIND015017,3674,WPUR200,2025-01-18,Hyderabad,1,Open
OIND015018,2244,WPUR300,2025-01-19,Hyderabad,1,Delivered
OIND015019,4752,WPUR300,2025-01-20,Mumbai,4,Delivered
OIND015020,3362,WPUR300,2025-01-21,Hyderabad,3,Delivered
OIND015021,1991,WPUR300,2025-01-22,Chennai,4,Delivered
OIND015022,4040,WPUR200,2025-01-23,Mumbai,3,Open
OIND015023,2200,WPUR200,2025-01-24,Hyderabad,2,Open
OIND015024,1855,WPUR100,2025-01-25,Pune,2,Delivered
OIND015025,5618,WPUR100,2025-01-26,Hyderabad,2,In Process
OIND015026,8277,WPUR200,2025-01-27,Pune,1,Delivered
OIND015027,2018,WPUR200,2025-01-28,Delhi,1,Delivered
OIND015028,6604,WPUR200,2025-01-29,Pune,2,In Process
OIND015029,4873,WPUR300,2025-01-30,Pune,3,In Process
OIND015030,5597,WPUR300,2025-01-31,Hyderabad,2,Delivered
OIND015031,3585,WPUR100,2025-02-01,Bangalore,1,In Process
OIND015032,9881,WPUR100,2025-02-02,Delhi,3,In Process
OIND015033,5357,WPUR100,2025-02-03,Bangalore,4,Open
OIND015034,1479,WPUR200,2025-02-04,Bangalore,4,Delivered
OIND015035,7127,WPUR300,2025-02-05,Bangalore,4,Open
OIND015036,9714,WPUR100,2025-02-06,Mumbai,3,Open
OIND015037,3639,WPUR100,2025-02-07,Mumbai,2,Delivered
OIND015038,6736,WPUR200,2025-02-08,Delhi,2,Delivered
OIND015039,2298,WPUR300,2025-02-09,Bangalore,1,In Process
OIND015040,1768,WPUR200,2025-02-10,Delhi,4,In Process
OIND015041,2137,WPUR100,2025-02-11,Mumbai,2,In Process
OIND015042,6178,WPUR200,2025-02-12,Bangalore,3,Delivered
OIND015043,2729,WPUR200,2025-02-13,Bangalore,1,Open
OIND015044,3029,WPUR300,2025-02-14,Mumbai,2,In Process
OIND015045,1320,WPUR200,2025-02-15,Pune,1,Delivered
OIND015046,9954,WPUR200,2025-02-16,Hyderabad,1,Delivered
OIND015047,9461,WPUR100,2025-02-17,Delhi,4,Delivered
OIND015048,1347,WPUR100,2025-02-18,Pune,3,Delivered
OIND015049,8190,WPUR200,2025-02-19,Bangalore,3,Delivered
OIND015050,4433,WPUR200,2025-02-20,Mumbai,3,In Process
OIND015051,2403,WPUR100,2025-02-21,Pune,3,In Process
OIND015052,2070,WPUR100,2025-02-22,Chennai,4,Delivered
OIND015053,6437,WPUR200,2025-02-23,Delhi,2,Delivered
OIND015054,9847,WPUR200,2025-02-24,Pune,1,Delivered
OIND015055,4666,WPUR100,2025-02-25,Pune,3,Delivered
OIND015056,7550,WPUR100,2025-02-26,Pune,4,Open
OIND015057,7698,WPUR300,2025-02-27,Bangalore,2,Delivered
OIND015058,6643,WPUR300,2025-02-28,Delhi,2,Delivered
OIND015059,9547,WPUR300,2025-03-01,Delhi,3,Open
OIND015060,5679,WPUR200,2025-03-02,Bangalore,1,Open
OIND015061,4601,WPUR300,2025-03-03,Bangalore,2,Delivered
OIND015062,3692,WPUR300,2025-03-04,Hyderabad,4,Delivered
OIND015063,6426,WPUR200,2025-03-05,Chennai,2,Delivered
OIND015064,3611,WPUR200,2025-03-06,Bangalore,3,In Process
OIND015065,3913,WPUR200,2025-03-07,Pune,1,Delivered
OIND015066,3703,WPUR100,2025-03-08,Chennai,4,Delivered
