OrderID,CustomerID,MaterialCode,OrderDate,City,Quantity,Status
OIND010000,4546,WPUR300,2025-01-01,Hyderabad,1,Delivered
OIND010001,3903,WPUR200,2025-01-02,Chennai,2,Delivered
OIND010002,4163,WPUR300,2025-01-03,Hyderabad,1,Delivered
OIND010003,8040,WPUR300,2025-01-04,Chennai,4,Delivered
OIND010004,3831,WPUR300,2025-01-05,Pune,4,Open
OIND010005,7233,WPUR300,2025-01-06,Chennai,2,In Process
OIND010006,9967,WPUR200,2025-01-07,Hyderabad,1,In Process
OIND010007,9180,WPUR300,2025-01-08,Bangalore,1,In Process
OIND010008,5626,WPUR100,2025-01-09,Delhi,4,Delivered
OIND010009,5973,WPUR300,2025-01-10,Delhi,1,Open
OIND010010,8307,WPUR300,2025-01-11,Hyderabad,1,Open
OIND010011,3563,WPUR300,2025-01-12,Mumbai,2,In Process
OIND010012,4245,WPUR100,2025-01-13,Mumbai,2,Delivered
OIND010013,8997,WPUR100,2025-01-14,Pune,4,Open
OIND010014,5575,WPUR100,2025-01-15,Hyderabad,2,Delivered
OIND010015,2902,WPUR200,2025-01-16,Mumbai,3,Open
OIND010016,3418,WPUR100,2025-01-17,Pune,2,Delivered
OIND010017,1262,WPUR200,2025-01-18,Pune,4,Open
OIND010018,1109,WPUR300,2025-01-19,Chennai,1,In Process
OIND010019,2373,WPUR300,2025-01-20,Pune,1,Delivered
OIND010020,9294,WPUR300,2025-01-21,Bangalore,2,Delivered
OIND010021,3056,WPUR300,2025-01-22,Delhi,4,Delivered
OIND010022,6040,WPUR300,2025-01-23,Chennai,2,Open
OIND010023,1982,WPUR100,2025-01-24,Delhi,3,In Process
OIND010024,4069,WPUR200,2025-01-25,Delhi,4,In Process
OIND010025,1864,WPUR300,2025-01-26,Chennai,2,In Process
OIND010026,9558,WPUR200,2025-01-27,Pune,3,Delivered
OIND010027,8886,WPUR200,2025-01-28,Pune,4,Delivered
OIND010028,1482,WPUR200,2025-01-29,Bangalore,1,Delivered
OIND010029,7061,WPUR200,2025-01-30,Mumbai,2,In Process
OIND010030,4283,WPUR300,2025-01-31,Pune,2,Delivered
OIND010031,2097,WPUR200,2025-02-01,Hyderabad,4,In Process
OIND010032,8834,WPUR300,2025-02-02,Hyderabad,2,Delivered
OIND010033,9725,WPUR100,2025-02-03,Chennai,3,Open
OIND010034,5870,WPUR300,2025-02-04,Delhi,2,Open
OIND010035,6990,WPUR200,2025-02-05,Chennai,4,Delivered
OIND010036,1454,WPUR300,2025-02-06,Chennai,4,Open
OIND010037,4199,WPUR200,2025-02-07,Delhi,3,Delivered
OIND010038,6467,WPUR300,2025-02-08,Mumbai,4,Delivered
OIND010039,7931,WPUR200,2025-02-09,Pune,3,Open
OIND010040,7040,WPUR200,2025-02-10,Pune,1,In Process
OIND010041,2074,WPUR100,2025-02-11,Bangalore,4,Delivered
OIND010042,3824,WPUR100,2025-02-12,Pune,1,In Process
OIND010043,9656,WPUR200,2025-02-13,Bangalore,4,Open
