OrderID,CustomerID,MaterialCode,OrderDate,City,Quantity,Status
OIND005000,3030,WPUR100,2025-01-01,Delhi,3,Open
OIND005001,4120,WPUR100,2025-01-02,Mumbai,1,Open
OIND005002,7973,WPUR100,2025-01-03,Chennai,4,Delivered
OIND005003,7871,WPUR200,2025-01-04,Chennai,4,Delivered
OIND005004,9938,WPUR100,2025-01-05,Bangalore,1,In Process
OIND005005,1336,WPUR200,2025-01-06,Pune,2,Delivered
OIND005006,3082,WPUR300,2025-01-07,Mumbai,1,In Process
OIND005007,7770,WPUR200,2025-01-08,Chennai,3,In Process
OIND005008,1471,WPUR300,2025-01-09,Bangalore,1,In Process
OIND005009,9296,WPUR100,2025-01-10,Bangalore,3,Open
OIND005010,4154,WPUR200,2025-01-11,Pune,1,Open
OIND005011,3690,WPUR300,2025-01-12,Pune,2,Open
OIND005012,2521,WPUR100,2025-01-13,Chennai,3,Open
OIND005013,3517,WPUR200,2025-01-14,Hyderabad,4,In Process
OIND005014,7606,WPUR100,2025-01-15,Chennai,3,In Process
OIND005015,1413,WPUR300,2025-01-16,Pune,4,Delivered
OIND005016,7665,WPUR100,2025-01-17,Chennai,2,Delivered
OIND005017,5072,WPUR200,2025-01-18,Delhi,3,Open
OIND005018,4406,WPUR300,2025-01-19,Delhi,3,In Process
OIND005019,5257,WPUR300,2025-01-20,Pune,4,Delivered
OIND005020,6000,WPUR200,2025-01-21,Chennai,2,Delivered
OIND005021,1948,WPUR300,2025-01-22,Delhi,3,Open
OIND005022,9587,WPUR300,2025-01-23,Chennai,1,Open
OIND005023,1842,WPUR300,2025-01-24,Delhi,4,Open
OIND005024,7887,WPUR100,2025-01-25,Hyderabad,4,Delivered
OIND005025,9443,WPUR300,2025-01-26,Hyderabad,3,In Process
OIND005026,8483,WPUR300,2025-01-27,Chennai,3,Open
OIND005027,4390,WPUR300,2025-01-28,Pune,1,Delivered
OIND005028,4977,WPUR300,2025-01-29,Bangalore,4,Delivered
OIND005029,2665,WPUR200,2025-01-30,Bangalore,1,In Process
OIND005030,1715,WPUR100,2025-01-31,Chennai,4,Delivered
OIND005031,6386,WPUR200,2025-02-01,Chennai,2,In Process
OIND005032,5680,WPUR100,2025-02-02,Hyderabad,3,In Process
OIND005033,1274,WPUR100,2025-02-03,Hyderabad,1,Open
OIND005034,3770,WPUR100,2025-02-04,Mumbai,3,Delivered
OIND005035,5571,WPUR200,2025-02-05,Mumbai,3,In Process
OIND005036,9001,WPUR100,2025-02-06,Delhi,3,Delivered
OIND005037,3430,WPUR300,2025-02-07,Chennai,3,In Process
OIND005038,7984,WPUR100,2025-02-08,Hyderabad,2,In Process
OIND005039,9848,WPUR300,2025-02-09,Mumbai,4,Delivered
OIND005040,6769,WPUR100,2025-02-10,Pune,4,Open
OIND005041,5932,WPUR100,2025-02-11,Chennai,3,Delivered
OIND005042,2982,WPUR100,2025-02-12,Hyderabad,2,Open
OIND005043,5527,WPUR100,2025-02-13,Chennai,3,In Process
OIND005044,8511,WPUR100,2025-02-14,Pune,3,Delivered
OIND005045,8111,WPUR200,2025-02-15,Chennai,4,Open
OIND005046,4278,WPUR300,2025-02-16,Delhi,1,Delivered
OIND005047,8750,WPUR100,2025-02-17,Hyderabad,2,Delivered
OIND005048,7727,WPUR300,2025-02-18,Pune,3,In Process
OIND005049,8719,WPUR200,2025-02-19,Chennai,2,Delivered
OIND005050,6969,WPUR200,2025-02-20,Hyderabad,3,Delivered
OIND005051,1090,WPUR100,2025-02-21,Delhi,4,In Process
OIND005052,6558,WPUR300,2025-02-22,Mumbai,1,Delivered
OIND005053,3247,WPUR300,2025-02-23,Mumbai,1,In Process
OIND005054,9377,WPUR100,2025-02-24,Chennai,2,In Process
OIND005055,8783,WPUR300,2025-02-25,Delhi,3,Open
OIND005056,7265,WPUR100,2025-02-26,Pune,2,Delivered
OIND005057,8801,WPUR200,2025-02-27,Hyderabad,4,Delivered
OIND005058,6276,WPUR300,2025-02-28,Chennai,3,Open
OIND005059,8983,WPUR300,2025-03-01,Delhi,3,Open
OIND005060,3031,WPUR300,2025-03-02,Hyderabad,1,Delivered
OIND005061,6874,WPUR300,2025-03-03,Hyderabad,3,Delivered
OIND005062,1754,WPUR200,2025-03-04,Mumbai,3,Open
OIND005063,8230,WPUR100,2025-03-05,Pune,2,Open
OIND005064,6541,WPUR100,2025-03-06,Mumbai,2,Open
OIND005065,7600,WPUR300,2025-03-07,Delhi,2,Open
OIND005066,1185,WPUR100,2025-03-08,Mumbai,3,Open
OIND005067,6638,WPUR100,2025-03-09,Pune,4,Delivered
OIND005068,1211,WPUR200,2025-03-10,Bangalore,3,In Process
OIND005069,2808,WPUR300,2025-03-11,Delhi,4,Open
OIND005070,8501,WPUR100,2025-03-12,Delhi,1,In Process
OIND005071,2888,WPUR200,2025-03-13,Mumbai,2,In Process
OIND005072,7210,WPUR200,2025-03-14,Hyderabad,3,Delivered
OIND005073,7006,WPUR200,2025-03-15,Pune,1,Open
OIND005074,3106,WPUR300,2025-03-16,Bangalore,1,In Process
OIND005075,1949,WPUR200,2025-03-17,Bangalore,4,In Process
OIND005076,7238,WPUR300,2025-03-18,Pune,1,In Process
OIND005077,9951,WPUR300,2025-03-19,Mumbai,3,Open
OIND005078,2709,WPUR100,2025-03-20,Mumbai,4,Delivered
OIND005079,9310,WPUR100,2025-03-21,Mumbai,2,In Process
OIND005080,5158,WPUR200,2025-03-22,Bangalore,1,Delivered
OIND005081,8145,WPUR200,2025-03-23,Delhi,4,Delivered
OIND005082,2905,WPUR200,2025-03-24,Hyderabad,1,In Process
OIND005083,5208,WPUR100,2025-03-25,Pune,2,Open
OIND005084,6579,WPUR100,2025-03-26,Pune,3,Open
OIND005085,5045,WPUR300,2025-03-27,Chennai,1,Delivered
OIND005086,4963,WPUR200,2025-03-28,Bangalore,2,Delivered
OIND005087,6324,WPUR300,2025-03-29,Bangalore,4,Delivered
OIND005088,4244,WPUR300,2025-03-30,Delhi,3,Open
OIND005089,4549,WPUR200,2025-03-31,Pune,4,Delivered
OIND005090,3693,WPUR200,2025-04-01,Mumbai,4,Delivered
OIND005091,3522,WPUR300,2025-04-02,Hyderabad,1,Delivered
OIND005092,6121,WPUR300,2025-04-03,Hyderabad,3,In Process
OIND005093,8974,WPUR200,2025-04-04,Mumbai,4,In Process
OIND005094,2734,WPUR200,2025-04-05,Mumbai,3,Open
OIND005095,3027,WPUR300,2025-04-06,Pune,1,In Process
OIND005096,1860,WPUR300,2025-04-07,Hyderabad,4,Delivered
OIND005097,2509,WPUR100,2025-04-08,Delhi,4,In Process
OIND005098,5036,WPUR200,2025-04-09,Pune,3,Delivered
OIND005099,2873,WPUR200,2025-04-10,Delhi,4,Open
OIND005100,8199,WPUR100,2025-04-11,Hyderabad,1,Delivered
OIND005101,9171,WPUR100,2025-04-12,Delhi,3,Delivered
OIND005102,2139,WPUR100,2025-04-13,Mumbai,2,In Process
OIND005103,6200,WPUR200,2025-04-14,Pune,4,Open
OIND005104,1565,WPUR200,2025-04-15,Delhi,4,In Process
OIND005105,8000,WPUR300,2025-04-16,Pune,2,In Process
OIND005106,8519,WPUR300,2025-04-17,Pune,4,Open
OIND005107,4585,WPUR300,2025-04-18,Chennai,3,In Process
OIND005108,2764,WPUR100,2025-04-19,Hyderabad,3,Delivered
OIND005109,1493,WPUR200,2025-04-20,Pune,1,Delivered
OIND005110,9028,WPUR100,2025-04-21,Chennai,1,Open
OIND005111,6664,WPUR100,2025-04-22,Pune,3,In Process
OIND005112,9058,WPUR200,2025-04-23,Delhi,1,Delivered
OIND005113,9402,WPUR200,2025-04-24,Bangalore,2,Open
OIND005114,1037,WPUR200,2025-04-25,Pune,3,In Process
OIND005115,4712,WPUR300,2025-04-26,Hyderabad,2,In Process
OIND005116,7657,WPUR300,2025-04-27,Pune,4,Open
