DeliveryID,OrderID,DeliveryDate,DeliveredQty,City,Status
DIS000000,OIND000000,2025-02-01,3,Hyderabad,In Transit
DIS000001,OIND000001,2025-02-02,3,Mumbai,Shipped
DIS000002,OIND000002,2025-02-03,2,Hyderabad,Shipped
DIS000003,OIND000003,2025-02-04,3,Mumbai,In Transit
DIS000004,OIND000004,2025-02-05,1,Bangalore,In Transit
DIS000005,OIND000005,2025-02-06,2,Pune,In Transit
DIS000006,OIND000006,2025-02-07,2,Chennai,Shipped
DIS000007,OIND000007,2025-02-08,4,Mumbai,Shipped
DIS000008,OIND000008,2025-02-09,1,Pune,Shipped
DIS000009,OIND000009,2025-02-10,1,Bangalore,Shipped
DIS000010,OIND000010,2025-02-11,1,Mumbai,Delivered
DIS000011,OIND000011,2025-02-12,2,Chennai,Shipped
DIS000012,OIND000012,2025-02-13,3,Mumbai,In Transit
DIS000013,OIND000013,2025-02-14,4,Delhi,Delivered
DIS000014,OIND000014,2025-02-15,1,Delhi,In Transit
DIS000015,OIND000015,2025-02-16,2,Hyderabad,In Transit
DIS000016,OIND000016,2025-02-17,2,Hyderabad,In Transit
DIS000017,OIND000017,2025-02-18,3,Chennai,Delivered
DIS000018,OIND000018,2025-02-19,1,Pune,In Transit
DIS000019,OIND000019,2025-02-20,4,Chennai,In Transit
DIS000020,OIND000020,2025-02-21,3,Hyderabad,In Transit
DIS000021,OIND000021,2025-02-22,3,Delhi,Delivered
DIS000022,OIND000022,2025-02-23,2,Hyderabad,Delivered
DIS000023,OIND000023,2025-02-24,1,Chennai,In Transit
DIS000024,OIND000024,2025-02-25,4,Mumbai,Delivered
DIS000025,OIND000025,2025-02-26,1,Delhi,Shipped
DIS000026,OIND000026,2025-02-27,2,Mumbai,Delivered
DIS000027,OIND000027,2025-02-28,1,Mumbai,In Transit
DIS000028,OIND000028,2025-03-01,2,Chennai,Delivered
DIS000029,OIND000029,2025-03-02,1,Hyderabad,In Transit
DIS000030,OIND000030,2025-03-03,4,Hyderabad,Shipped
DIS000031,OIND000031,2025-03-04,4,Bangalore,In Transit
DIS000032,OIND000032,2025-03-05,4,Hyderabad,Delivered
DIS000033,OIND000033,2025-03-06,2,Bangalore,Delivered
DIS000034,OIND000034,2025-03-07,3,Delhi,In Transit
DIS000035,OIND000035,2025-03-08,3,Delhi,Shipped
DIS000036,OIND000036,2025-03-09,2,Chennai,Shipped
DIS000037,OIND000037,2025-03-10,2,Delhi,Delivered
DIS000038,OIND000038,2025-03-11,2,Hyderabad,Delivered
DIS000039,OIND000039,2025-03-12,1,Bangalore,In Transit
DIS000040,OIND000040,2025-03-13,3,Hyderabad,In Transit
DIS000041,OIND000041,2025-03-14,1,Chennai,In Transit
DIS000042,OIND000042,2025-03-15,1,Pune,Shipped
DIS000043,OIND000043,2025-03-16,2,Bangalore,Shipped
