DeliveryID,OrderID,DeliveryDate,DeliveredQty,City,Status
DIS015000,OIND015000,2025-02-01,3,Hyderabad,Shipped
DIS015001,OIND015001,2025-02-02,2,Mumbai,Shipped
DIS015002,OIND015002,2025-02-03,2,Chennai,Shipped
DIS015003,OIND015003,2025-02-04,4,Pune,In Transit
DIS015004,OIND015004,2025-02-05,3,Pune,Delivered
DIS015005,OIND015005,2025-02-06,3,Pune,Delivered
DIS015006,OIND015006,2025-02-07,3,Bangalore,Shipped
DIS015007,OIND015007,2025-02-08,4,Delhi,In Transit
DIS015008,OIND015008,2025-02-09,3,Chennai,In Transit
DIS015009,OIND015009,2025-02-10,2,Delhi,Delivered
DIS015010,OIND015010,2025-02-11,2,Delhi,Shipped
DIS015011,OIND015011,2025-02-12,3,Delhi,Shipped
DIS015012,OIND015012,2025-02-13,2,Chennai,Delivered
DIS015013,OIND015013,2025-02-14,2,Mumbai,Delivered
DIS015014,OIND015014,2025-02-15,1,Chennai,Delivered
DIS015015,OIND015015,2025-02-16,3,Bangalore,Shipped
DIS015016,OIND015016,2025-02-17,3,Chennai,Delivered
DIS015017,OIND015017,2025-02-18,4,Bangalore,Shipped
DIS015018,OIND015018,2025-02-19,1,Delhi,Delivered
DIS015019,OIND015019,2025-02-20,4,Hyderabad,In Transit
DIS015020,OIND015020,2025-02-21,2,Bangalore,Shipped
DIS015021,OIND015021,2025-02-22,2,Mumbai,Shipped
DIS015022,OIND015022,2025-02-23,3,Bangalore,In Transit
DIS015023,OIND015023,2025-02-24,1,Hyderabad,Shipped
DIS015024,OIND015024,2025-02-25,2,Pune,In Transit
DIS015025,OIND015025,2025-02-26,2,Delhi,Shipped
DIS015026,OIND015026,2025-02-27,2,Hyderabad,Shipped
DIS015027,OIND015027,2025-02-28,1,Bangalore,Shipped
DIS015028,OIND015028,2025-03-01,4,Bangalore,In Transit
DIS015029,OIND015029,2025-03-02,3,Pune,Shipped
DIS015030,OIND015030,2025-03-03,4,Mumbai,Shipped
DIS015031,OIND015031,2025-03-04,4,Delhi,In Transit
DIS015032,OIND015032,2025-03-05,3,Delhi,Shipped
DIS015033,OIND015033,2025-03-06,2,Bangalore,Delivered
DIS015034,OIND015034,2025-03-07,4,Pune,Delivered
DIS015035,OIND015035,2025-03-08,4,Pune,Delivered
DIS015036,OIND015036,2025-03-09,3,Delhi,Shipped
DIS015037,OIND015037,2025-03-10,1,Chennai,In Transit
DIS015038,OIND015038,2025-03-11,1,Delhi,In Transit
DIS015039,OIND015039,2025-03-12,4,Pune,Shipped
DIS015040,OIND015040,2025-03-13,4,Mumbai,In Transit
DIS015041,OIND015041,2025-03-14,4,Delhi,Shipped
DIS015042,OIND015042,2025-03-15,2,Mumbai,In Transit
DIS015043,OIND015043,2025-03-16,4,Delhi,Shipped
DIS015044,OIND015044,2025-03-17,1,Hyderabad,In Transit
DIS015045,OIND015045,2025-03-18,3,Mumbai,In Transit
DIS015046,OIND015046,2025-03-19,4,Delhi,Delivered
DIS015047,OIND015047,2025-03-20,1,Bangalore,Delivered
DIS015048,OIND015048,2025-03-21,1,Mumbai,In Transit
DIS015049,OIND015049,2025-03-22,4,Mumbai,Delivered
DIS015050,OIND015050,2025-03-23,4,Mumbai,In Transit
DIS015051,OIND015051,2025-03-24,3,Bangalore,Shipped
DIS015052,OIND015052,2025-03-25,1,Mumbai,Shipped
DIS015053,OIND015053,2025-03-26,3,Pune,Delivered
DIS015054,OIND015054,2025-03-27,3,Chennai,Shipped
DIS015055,OIND015055,2025-03-28,1,Mumbai,Delivered
DIS015056,OIND015056,2025-03-29,1,Delhi,Delivered
DIS015057,OIND015057,2025-03-30,3,Delhi,Delivered
DIS015058,OIND015058,2025-03-31,2,Mumbai,In Transit
DIS015059,OIND015059,2025-04-01,3,Mumbai,Delivered
DIS015060,OIND015060,2025-04-02,4,Hyderabad,In Transit
DIS015061,OIND015061,2025-04-03,4,Bangalore,Shipped
DIS015062,OIND015062,2025-04-04,3,Bangalore,In Transit
DIS015063,OIND015063,2025-04-05,2,Pune,Shipped
DIS015064,OIND015064,2025-04-06,2,Pune,Shipped
DIS015065,OIND015065,2025-04-07,3,Mumbai,In Transit
DIS015066,OIND015066,2025-04-08,4,Pune,Shipped
DIS015067,OIND015067,2025-04-09,4,Delhi,In Transit
DIS015068,OIND015068,2025-04-10,1,Chennai,Shipped
DIS015069,OIND015069,2025-04-11,4,Pune,In Transit
DIS015070,OIND015070,2025-04-12,1,Chennai,Shipped
DIS015071,OIND015071,2025-04-13,1,Mumbai,Delivered
DIS015072,OIND015072,2025-04-14,3,Mumbai,Shipped
DIS015073,OIND015073,2025-04-15,1,Bangalore,Delivered
DIS015074,OIND015074,2025-04-16,3,Hyderabad,Shipped
DIS015075,OIND015075,2025-04-17,1,Delhi,Delivered
DIS015076,OIND015076,2025-04-18,3,Delhi,In Transit
DIS015077,OIND015077,2025-04-19,2,Bangalore,In Transit
DIS015078,OIND015078,2025-04-20,2,Pune,In Transit
DIS015079,OIND015079,2025-04-21,3,Mumbai,Delivered
DIS015080,OIND015080,2025-04-22,3,Delhi,Shipped
DIS015081,OIND015081,2025-04-23,2,Chennai,Delivered
DIS015082,OIND015082,2025-04-24,4,Delhi,Shipped
DIS015083,OIND015083,2025-04-25,3,Mumbai,Delivered
DIS015084,OIND015084,2025-04-26,2,Mumbai,Delivered
DIS015085,OIND015085,2025-04-27,3,Mumbai,Shipped
DIS015086,OIND015086,2025-04-28,3,Pune,Shipped
DIS015087,OIND015087,2025-04-29,4,Pune,In Transit
DIS015088,OIND015088,2025-04-30,4,Pune,Delivered
DIS015089,OIND015089,2025-05-01,3,Delhi,In Transit
DIS015090,OIND015090,2025-05-02,4,Mumbai,Delivered
DIS015091,OIND015091,2025-05-03,3,Bangalore,Shipped
DIS015092,OIND015092,2025-05-04,4,Mumbai,Delivered
DIS015093,OIND015093,2025-05-05,1,Chennai,Shipped
DIS015094,OIND015094,2025-05-06,3,Hyderabad,Delivered
DIS015095,OIND015095,2025-05-07,4,Hyderabad,In Transit
DIS015096,OIND015096,2025-05-08,1,Hyderabad,Delivered
DIS015097,OIND015097,2025-05-09,4,Mumbai,Shipped
DIS015098,OIND015098,2025-05-10,4,Hyderabad,Delivered
DIS015099,OIND015099,2025-05-11,2,Bangalore,Shipped
DIS015100,OIND015100,2025-05-12,3,Bangalore,Delivered
DIS015101,OIND015101,2025-05-13,4,Delhi,In Transit
DIS015102,OIND015102,2025-05-14,3,Delhi,In Transit
DIS015103,OIND015103,2025-05-15,4,Delhi,Shipped
DIS015104,OIND015104,2025-05-16,3,Pune,In Transit
DIS015105,OIND015105,2025-05-17,2,Pune,Delivered
DIS015106,OIND015106,2025-05-18,1,Bangalore,In Transit
DIS015107,OIND015107,2025-05-19,4,Mumbai,Shipped
DIS015108,OIND015108,2025-05-20,2,Delhi,Delivered
DIS015109,OIND015109,2025-05-21,2,Chennai,In Transit
DIS015110,OIND015110,2025-05-22,1,Bangalore,Shipped
DIS015111,OIND015111,2025-05-23,1,Mumbai,Delivered
DIS015112,OIND015112,2025-05-24,1,Delhi,Delivered
DIS015113,OIND015113,2025-05-25,2,Pune,Delivered
DIS015114,OIND015114,2025-05-26,2,Chennai,Shipped
DIS015115,OIND015115,2025-05-27,2,Hyderabad,Shipped
DIS015116,OIND015116,2025-05-28,2,Bangalore,Shipped
DIS015117,OIND015117,2025-05-29,1,Mumbai,In Transit
DIS015118,OIND015118,2025-05-30,3,Hyderabad,Delivered
DIS015119,OIND015119,2025-05-31,3,Delhi,Shipped
DIS015120,OIND015120,2025-06-01,1,Delhi,Delivered
DIS015121,OIND015121,2025-06-02,2,Mumbai,Delivered
DIS015122,OIND015122,2025-06-03,1,Pune,Shipped
DIS015123,OIND015123,2025-06-04,2,Delhi,Delivered
DIS015124,OIND015124,2025-06-05,4,Chennai,Shipped
DIS015125,OIND015125,2025-06-06,3,Bangalore,Shipped
DIS015126,OIND015126,2025-06-07,1,Delhi,Delivered
DIS015127,OIND015127,2025-06-08,4,Delhi,Delivered
DIS015128,OIND015128,2025-06-09,3,Mumbai,In Transit
DIS015129,OIND015129,2025-06-10,1,Chennai,Delivered
DIS015130,OIND015130,2025-06-11,4,Chennai,Shipped
DIS015131,OIND015131,2025-06-12,3,Bangalore,Delivered
DIS015132,OIND015132,2025-06-13,2,Chennai,In Transit
DIS015133,OIND015133,2025-06-14,3,Bangalore,Delivered
DIS015134,OIND015134,2025-06-15,1,Chennai,Shipped
DIS015135,OIND015135,2025-06-16,4,Mumbai,Delivered
DIS015136,OIND015136,2025-06-17,1,Pune,In Transit
DIS015137,OIND015137,2025-06-18,3,Chennai,Delivered
DIS015138,OIND015138,2025-06-19,2,Pune,Delivered
DIS015139,OIND015139,2025-06-20,4,Bangalore,In Transit
DIS015140,OIND015140,2025-06-21,3,Pune,Delivered
DIS015141,OIND015141,2025-06-22,2,Chennai,Delivered
DIS015142,OIND015142,2025-06-23,4,Chennai,In Transit
DIS015143,OIND015143,2025-06-24,4,Delhi,Shipped
DIS015144,OIND015144,2025-06-25,2,Hyderabad,In Transit
DIS015145,OIND015145,2025-06-26,2,Mumbai,In Transit
DIS015146,OIND015146,2025-06-27,2,Chennai,In Transit
DIS015147,OIND015147,2025-06-28,1,Pune,In Transit
DIS015148,OIND015148,2025-06-29,3,Chennai,Delivered
DIS015149,OIND015149,2025-06-30,4,Delhi,Shipped
DIS015150,OIND015150,2025-07-01,2,Pune,Delivered
DIS015151,OIND015151,2025-07-02,3,Pune,In Transit
DIS015152,OIND015152,2025-07-03,4,Chennai,In Transit
DIS015153,OIND015153,2025-07-04,2,Hyderabad,In Transit
DIS015154,OIND015154,2025-07-05,3,Delhi,In Transit
DIS015155,OIND015155,2025-07-06,4,Pune,In Transit
DIS015156,OIND015156,2025-07-07,1,Pune,Delivered
DIS015157,OIND015157,2025-07-08,1,Hyderabad,Shipped
DIS015158,OIND015158,2025-07-09,2,Chennai,Shipped
DIS015159,OIND015159,2025-07-10,3,Hyderabad,In Transit
DIS015160,OIND015160,2025-07-11,4,Chennai,In Transit
DIS015161,OIND015161,2025-07-12,2,Hyderabad,Delivered
DIS015162,OIND015162,2025-07-13,2,Pune,In Transit
DIS015163,OIND015163,2025-07-14,3,Pune,Shipped
DIS015164,OIND015164,2025-07-15,4,Delhi,Shipped
